City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,16.25,41,75,8.75,CL,1735333595
1,avarua,-21.2078,-159.775,27.03,94,20,4.12,CK,1735333597
2,adamstown,-25.066,-130.1015,24.11,77,97,3.55,PN,1735333598
3,as sulayyil,20.4607,45.5779,17.24,38,83,3.93,SA,1735333600
4,waitangi,-43.9535,-176.5597,16.01,99,100,3.13,NZ,1735333601
5,badger,64.8,-147.5333,-15.07,78,75,1.54,US,1735333602
6,margaret river,-33.95,115.0667,13.06,88,22,1.94,AU,1735333603
7,port-aux-francais,-49.35,70.2167,4.58,74,7,16.4,TF,1735333605
8,yellowknife,62.456,-114.3525,-9.21,99,75,3.6,CA,1735333606
9,longyearbyen,78.2186,15.6401,-4.09,86,75,2.06,SJ,1735333607
10,arraial do cabo,-22.9661,-42.0278,26.92,83,75,2.57,BR,1735333608
11,bubaque,11.2833,-15.8333,26.27,69,53,6.03,GW,1735333610
12,bredasdorp,-34.5322,20.0403,20.72,68,97,2.53,ZA,1735333611
13,cabedelo,-6.9811,-34.8339,29.37,81,27,6.27,BR,1735333364
14,grytviken,-54.2811,-36.5092,12.18,41,17,7.86,GS,1735333613
15,danielskuil,-28.1887,23.5395,20.15,74,17,0.58,ZA,1735333615
16,pisco,-13.7,-76.2167,25.03,61,0,8.75,PE,1735333496
17,lolodorf,3.2333,10.7333,22.95,94,94,1.13,CM,1735333617
18,papatowai,-46.5619,169.4708,19.95,53,68,2.01,NZ,1735333618
19,boundiali,9.5217,-6.4869,24.85,15,72,1.36,CI,1735333620
20,tiksi,71.6872,128.8694,-29.15,100,91,1.46,RU,1735333621
21,flying fish cove,-10.4217,105.6791,25.82,94,40,2.06,CX,1735333623
22,uturoa,-16.7333,-151.4333,27.67,73,90,3.95,PF,1735333624
23,rodolfo sanchez taboada,31.7167,-116.5667,16.41,74,100,3.92,MX,1735333625
24,sarkand,45.41,79.9186,-3.84,70,97,3.02,KZ,1735333626
25,la passe,45.5549,-0.8967,7.06,82,0,2.21,FR,1735333628
26,ushuaia,-54.8,-68.3,13.81,47,75,6.69,AR,1735333484
27,suva,-18.1416,178.4415,27.71,78,75,1.03,FJ,1735333544
28,nemuro,43.3236,145.575,-3.63,67,22,10.85,JP,1735333631
29,bilibino,68.0546,166.4372,-43.93,100,93,1.4,RU,1735333633
30,selebi-phikwe,-21.979,27.8498,22.77,82,100,1.15,BW,1735333634
31,iskateley,67.6803,53.1512,-1.1,92,99,8.37,RU,1735333635
32,jamestown,42.097,-79.2353,5.8,65,40,4.63,US,1735333595
33,lebu,-37.6167,-73.65,17.51,75,99,5.07,CL,1735333637
34,warren,39.4334,-84.1666,11.68,92,100,6.17,US,1735333080
35,hermanus,-34.4187,19.2345,20.45,75,95,3.56,ZA,1735333640
36,urangan,-25.3,152.9,25.7,71,13,6.71,AU,1735333641
37,walvis bay,-22.9575,14.5053,16.85,85,98,4.17,NA,1735333642
38,masterton,-40.9597,175.6575,16.82,62,60,3.78,NZ,1735333644
39,nar'yan-mar,67.6713,53.087,-1.17,92,98,8.42,RU,1735333645
40,woolgoolga,-30.1106,153.2007,25.93,82,100,3.94,AU,1735333646
41,kingscliff,-28.2667,153.5667,26.08,83,99,4.12,AU,1735333647
42,thompson,55.7435,-97.8558,-1.59,91,100,3.12,CA,1735333649
43,bethel,41.3712,-73.414,3.28,52,96,1.05,US,1735333366
44,punta arenas,-53.15,-70.9167,14.06,51,0,13.89,CL,1735333651
45,iqaluit,63.7506,-68.5145,-25.27,82,86,0.81,CA,1735333652
46,blackmans bay,-43.0167,147.3167,14.29,69,100,1.34,AU,1735333654
47,cynthiana,38.3904,-84.2941,12.03,91,100,6.85,US,1735333435
48,wailua homesteads,22.0669,-159.378,26.74,56,0,2.06,US,1735333656
49,edinburgh of the seven seas,-37.0676,-12.3116,13.58,65,84,14.94,SH,1735333657
50,okha,53.5739,142.9478,-10.44,92,100,9.21,RU,1735333659
51,tual,-5.6667,132.75,27.22,83,100,3.76,ID,1735333660
52,kerikeri,-35.2268,173.9474,24.39,62,1,1.34,NZ,1735333661
53,conceicao do araguaia,-8.2578,-49.2647,27.07,79,95,1.39,BR,1735333662
54,kingston,17.997,-76.7936,28.42,81,73,0.8,JM,1735333663
55,monessen,40.1484,-79.8878,11.82,53,100,1.34,US,1735333665
56,huarmey,-10.0681,-78.1522,23.27,70,57,5.08,PE,1735333666
57,san pedro del parana,-26.8333,-56.2,27.44,49,0,1.91,PY,1735333667
58,uzice,43.8586,19.8488,-6.04,93,60,1.81,RS,1735333668
59,saipan,15.1355,145.701,28.39,85,75,6.17,MP,1735333670
60,aasiaat,68.7098,-52.8699,-27.55,100,95,3.57,GL,1735333671
61,revda,56.801,59.9303,-3.03,88,99,6.73,RU,1735333672
62,funafuti,-8.5243,179.1942,28.3,75,76,4.1,TV,1735333673
63,kannus,63.9,23.9,0.83,84,7,4.36,FI,1735333675
64,nioki,-2.7167,17.6833,22.6,93,67,1.33,CD,1735333676
65,talodi,10.6325,30.3797,25.54,20,0,4.02,SD,1735333677
66,albany,42.6001,-73.9662,-2.48,71,87,0.45,US,1735333107
67,pustoshka,56.3355,29.369,3.43,99,100,1.62,RU,1735333680
68,college,64.8569,-147.8028,-15.03,78,75,1.54,US,1735333681
69,san antonio de pale,-1.4014,5.6325,26.52,84,100,2.58,GQ,1735333682
70,sabha,27.0377,14.4283,8.96,48,6,1.32,LY,1735333683
71,halifax,44.6453,-63.5724,0.94,79,8,1.66,CA,1735333313
72,gao,16.6362,1.637,22.11,13,100,4.77,ML,1735333620
73,umea,63.8284,20.2597,0.51,80,0,3.6,SE,1735333687
74,tobelo,1.7284,128.0095,26.25,83,100,1.92,ID,1735333688
75,i-n-salah,27.1935,2.4607,11.32,31,14,5.87,DZ,1735333690
76,san pedro pochutla,15.7333,-96.4667,29.84,46,0,3.07,MX,1735333691
77,stanley,54.868,-1.6985,6.01,93,75,3.09,GB,1735333692
78,uliastay,47.7417,96.8444,-17.91,61,100,3.0,MN,1735333693
79,cannonvale,-20.2833,148.7,25.66,74,8,3.11,AU,1735333695
80,anloga,5.7947,0.8973,27.78,81,2,3.8,GH,1735333697
81,anadyr,64.75,177.4833,-32.72,74,0,5.81,RU,1735333698
82,san andres,12.5847,-81.7006,28.01,83,40,4.12,CO,1735333700
83,arkansas city,37.062,-97.0384,13.48,71,75,2.06,US,1735333701
84,visby,57.6409,18.296,4.12,100,100,1.54,SE,1735333702
85,invercargill,-46.4,168.35,18.34,86,57,1.34,NZ,1735333703
86,west island,-12.1568,96.8225,26.99,94,75,7.72,CC,1735333704
87,hasaki,35.7333,140.8333,7.53,50,75,2.74,JP,1735333706
88,la romana,18.4273,-68.9728,25.2,100,75,4.12,DO,1735333707
89,lupane,-18.9315,27.807,21.65,79,98,1.86,ZW,1735333708
90,bereznik,62.8551,42.7072,-1.94,87,26,4.56,RU,1735333710
91,georgetown,5.4112,100.3354,27.96,82,20,1.54,MY,1735333436
92,mount gambier,-37.8333,140.7667,13.79,79,66,3.91,AU,1735333712
93,mossel bay,-34.1831,22.146,21.28,83,90,1.91,ZA,1735333714
94,praia da vitoria,38.7333,-27.0667,15.79,90,98,3.0,PT,1735333715
95,kayangel,8.0823,134.7173,28.43,77,98,4.48,PW,1735333716
96,itoman,26.1247,127.6694,17.01,72,75,10.29,JP,1735333717
97,pizarro,4.9533,-77.366,26.52,79,59,4.02,CO,1735333720
98,puerto aysen,-45.4,-72.7,24.59,33,67,1.3,CL,1735333721
99,isafjordur,66.0755,-23.124,-5.77,86,53,4.89,IS,1735333722
100,petrovsk,52.3064,45.3917,-4.1,96,100,1.96,RU,1735333724
101,novoishimskiy,53.1981,66.7694,-5.56,92,94,6.24,KZ,1735333725
102,port elizabeth,-33.918,25.5701,22.4,99,75,3.09,ZA,1735333727
103,crane,31.3974,-102.3501,20.87,18,75,3.75,US,1735333729
104,tarawa,1.419,172.984,29.05,74,20,6.17,KI,1735333730
105,st. john's,47.5649,-52.7093,2.21,96,100,6.26,CA,1735333706
106,gaalkacyo,6.7697,47.4308,21.45,72,92,6.72,SO,1735333732
107,mitsamiouli,-11.3847,43.2844,27.45,78,100,4.67,KM,1735333734
108,cangzhou,38.3167,116.8667,-4.89,36,0,3.4,CN,1735333735
109,fort st. john,56.2499,-120.8529,-4.54,94,99,1.35,CA,1735333736
110,nan,18.8333,100.6667,18.07,76,0,0.61,TH,1735333737
111,pont rouge,48.8833,-72.0825,-7.2,94,100,1.49,CA,1735333738
112,sterlibashevo,53.4376,55.2578,-4.36,95,100,3.02,RU,1735333740
113,haiku-pauwela,20.9219,-156.3051,26.13,71,40,5.14,US,1735333636
114,gardez,33.5974,69.2259,-1.96,43,0,1.12,AF,1735333743
115,el calafate,-50.3408,-72.2768,15.61,41,54,4.23,AR,1735333483
116,mahdia,35.5047,11.0622,13.36,72,3,3.59,TN,1735333747
117,khandyga,62.6667,135.6,-43.19,100,56,0.47,RU,1735333748
118,odemira,37.598,-8.6397,10.12,90,89,0.95,PT,1735333749
119,naracoorte,-36.9579,140.7383,14.96,70,26,4.84,AU,1735333752
120,luderitz,-26.6481,15.1594,16.59,88,0,4.19,NA,1735333644
121,vorgashor,67.5833,63.95,-5.85,96,100,5.35,RU,1735333755
122,les cayes,18.2,-73.75,27.8,73,100,0.61,HT,1735333757
123,tura,25.5198,90.2201,14.81,59,0,2.04,IN,1735333758
124,chonchi,-42.6128,-73.8092,18.95,43,100,0.86,CL,1735333759
125,gryazovets,58.88,40.2525,-4.18,93,7,3.61,RU,1735333760
126,alotau,-10.3069,150.4462,25.79,89,85,0.86,PG,1735333761
127,wuwei,37.9281,102.6414,-8.05,40,0,1.48,CN,1735333763
128,freetown,8.484,-13.2299,25.66,76,3,2.96,SL,1735333764
129,tahlequah,35.9154,-94.97,13.12,100,75,0.0,US,1735333765
130,saldanha,-33.0117,17.9442,17.98,88,0,6.56,ZA,1735333766
131,port lincoln,-34.7333,135.8667,17.49,73,20,7.05,AU,1735333767
132,kodiak,57.79,-152.4072,1.73,87,100,4.63,US,1735333696
133,road town,18.4167,-64.6167,27.02,74,40,2.57,VG,1735333770
134,san giovanni in fiore,39.2633,16.6996,5.03,74,40,3.18,IT,1735333771
135,mar del plata,-38.0023,-57.5575,20.01,76,0,5.14,AR,1735333429
136,lihue,21.9789,-159.3672,27.08,61,0,2.06,US,1735333774
137,abepura,-2.6333,140.5833,25.45,94,20,0.51,ID,1735333776
138,gomez farias,23.05,-99.15,27.04,47,0,3.08,MX,1735333777
139,mersrags,57.3354,23.1246,5.94,94,100,2.47,LV,1735333778
140,whitehorse,60.7161,-135.0538,-2.57,79,75,6.17,CA,1735333780
141,samfya,-11.3649,29.5565,20.62,81,15,1.07,ZM,1735333781
142,'ain boucif,35.8912,3.1585,6.47,70,100,1.25,DZ,1735333782
143,akhaltsikhe,41.639,42.9826,0.06,95,100,0.97,GE,1735333783
144,qaqortoq,60.7167,-46.0333,-21.1,76,0,2.63,GL,1735333785
145,westport,41.1415,-73.3579,4.62,65,0,2.06,US,1735333786
146,codrington,-38.2667,141.9667,14.44,72,92,6.86,AU,1735333787
147,fortuna,40.5982,-124.1573,14.51,88,75,1.86,US,1735333788
148,labytnangi,66.6572,66.4183,-5.97,87,100,3.24,RU,1735333790
149,tazovsky,67.4667,78.7,-11.08,94,98,5.7,RU,1735333725
150,laksham,23.2472,91.1425,15.07,58,0,2.13,BD,1735333744
151,atafu village,-8.5421,-172.5159,28.34,74,96,5.46,TK,1735333793
152,changchun,43.88,125.3228,-15.61,88,10,3.6,CN,1735333794
153,alice springs,-23.7,133.8833,18.75,68,100,2.06,AU,1735333796
154,udachny,66.4167,112.4,-34.2,100,100,1.26,RU,1735333797
155,buka,40.8108,69.1986,-0.8,81,96,1.65,UZ,1735333798
156,kimbe,-5.5502,150.1429,26.24,88,100,1.07,PG,1735333799
157,hithadhoo,-0.6,73.0833,26.55,81,95,3.45,MV,1735333801
158,kolonia town,6.964,158.206,25.06,94,100,0.0,FM,1735333802
159,berezovyy,51.6667,135.7,-27.24,92,42,2.02,RU,1735333803
160,tsagan aman,47.5639,46.7218,-0.49,79,100,3.83,RU,1735333805
161,nova sintra,14.8667,-24.7167,24.33,80,41,7.68,CV,1735333806
162,sitka,57.0531,-135.33,6.94,76,75,4.63,US,1735333807
163,bethanie,-26.4833,17.15,23.31,24,0,3.15,NA,1735333809
164,khromtau,50.2503,58.4347,-3.37,95,100,7.81,KZ,1735333810
165,lorengau,-2.0226,147.2712,26.62,85,100,1.08,PG,1735333811
166,usinsk,65.9939,57.5281,-2.42,96,100,8.14,RU,1735333813
167,olonkinbyen,70.9221,-8.7187,-1.86,100,100,3.9,SJ,1735333814
168,linxia chengguanzhen,35.6003,103.2064,-16.49,93,12,1.21,CN,1735333817
169,cabo san lucas,22.8909,-109.9124,24.17,61,0,5.14,MX,1735333818
170,belyy yar,53.6039,91.3903,-24.06,84,100,3.0,RU,1735333820
171,al kharijah,25.4514,30.5464,10.0,52,34,1.13,EG,1735333821
172,ribeira grande,38.5167,-28.7,18.76,88,40,7.72,PT,1735333822
173,kolokani,13.5728,-8.0339,21.69,13,19,4.03,ML,1735333825
174,tomatlan,19.9333,-105.25,29.14,32,0,4.09,MX,1735333826
175,xinmin,41.9908,122.8253,-9.85,52,0,3.09,CN,1735333827
176,fale old settlement,-9.3852,-171.2468,28.36,74,91,4.96,TK,1735333828
177,talnakh,69.4865,88.3972,-13.83,94,100,6.63,RU,1735333830
178,chibougamau,49.9168,-74.3659,-4.21,100,100,2.06,CA,1735333831
179,mana,5.6592,-53.7767,26.34,79,77,3.45,GF,1735333832
180,portland,45.5234,-122.6762,11.46,93,100,6.71,US,1735333700
181,kapuskasing,49.4169,-82.4331,1.67,100,100,2.61,CA,1735333835
182,pierre,44.3683,-100.351,12.51,40,0,6.71,US,1735333836
183,san pedro,14.35,121.0167,25.57,94,75,1.03,PH,1735333837
184,mankoeng,-23.9,29.8167,21.58,61,100,1.41,ZA,1735333838
185,vanino,49.0869,140.2543,-18.92,75,84,4.19,RU,1735333839
186,svetlyy,54.675,20.1347,8.88,97,100,3.05,RU,1735333841
187,le port,-20.9373,55.2919,27.45,81,47,2.3,RE,1735333842
188,hilo,19.7297,-155.09,25.85,71,75,5.14,US,1735333843
189,port mathurin,-19.6833,63.4167,25.57,83,66,5.57,MU,1735333845
190,gisborne,-38.6533,178.0042,14.75,84,100,9.18,NZ,1735333846
191,mahibadhoo,3.7833,72.9667,26.93,70,95,3.17,MV,1735333849
192,singtam,27.2333,88.5,13.38,48,0,2.17,IN,1735333850
193,gadzhiyevo,69.2551,33.3362,-2.79,76,8,14.34,RU,1735333852
194,amasra,41.7463,32.3863,7.71,82,99,3.89,TR,1735333854
195,brisas de zicatela,15.8369,-97.0419,29.29,70,0,3.6,MX,1735333855
196,virginia,37.5481,-77.4467,9.06,68,100,1.54,US,1735333856
197,zag,46.9441,99.165,-28.98,78,27,1.27,MN,1735333857
198,bikenibeu village,1.3673,173.1241,28.98,74,20,6.17,KI,1735333858
199,kavaratti,10.5669,72.642,27.42,77,52,3.12,IN,1735333860
200,utrik,11.2278,169.8474,27.22,77,79,8.87,MH,1735333861
201,inhambane,-23.865,35.3833,25.0,74,7,3.71,MZ,1735333742
202,aparri,18.3333,121.6167,23.05,95,100,1.34,PH,1735333863
203,prince rupert,54.3161,-130.3201,5.05,93,100,4.12,CA,1735333865
204,minas de marcona,-15.2119,-75.1103,19.87,62,66,7.75,PE,1735333726
205,simanggang,1.2472,111.4528,25.01,94,100,0.24,MY,1735333867
206,constantia,44.1833,28.65,0.39,77,99,8.01,RO,1735333868
207,mhamid,29.82,-5.72,13.78,40,5,3.79,MA,1735333869
208,amga,60.8953,131.9608,-42.57,100,97,0.23,RU,1735333871
209,ambodifotatra,-16.9833,49.85,26.6,76,15,1.87,MG,1735333872
210,hamilton,39.1834,-84.5333,12.09,89,100,6.69,US,1735333520
211,hawaiian paradise park,19.5933,-154.9731,25.73,77,75,5.14,US,1735333875
212,sanibel,26.449,-82.0223,27.03,71,99,1.34,US,1735333876
213,kavieng,-2.5744,150.7967,27.46,82,100,2.53,PG,1735333878
214,klyuchi,52.2667,79.1667,-8.67,86,98,6.7,RU,1735333879
215,ust-nera,64.5667,143.2,-36.6,99,95,0.94,RU,1735333880
216,puerto ayora,-0.7393,-90.3518,24.75,87,56,1.34,EC,1735333881
217,neietsu,37.1845,128.4682,-6.4,52,4,3.85,KR,1735333883
218,kapa'a,22.0752,-159.319,27.49,56,0,2.06,US,1735333884
219,zaozersk,69.4005,32.4476,-4.15,78,1,13.26,RU,1735333885
220,ancud,-41.8697,-73.8203,16.32,60,100,2.47,CL,1735333756
221,callao,-12.0667,-77.15,25.16,61,0,5.66,PE,1735333888
222,petropavlovsk-kamchatsky,53.0452,158.6483,-3.67,54,75,7.0,RU,1735333889
223,muisne,0.6,-80.0333,26.15,77,16,5.52,EC,1735333890
224,anapa,44.8908,37.3239,0.19,100,75,6.0,RU,1735333891
225,svay rieng,11.0879,105.7993,24.0,83,100,2.04,KH,1735333896
226,brookings,44.3114,-96.7984,6.14,94,0,3.09,US,1735333897
227,utena,55.5,25.6,4.05,95,100,2.04,LT,1735333899
228,susuman,62.7833,148.1667,-42.17,99,84,0.4,RU,1735333900
229,ambon,-3.6954,128.1814,27.71,100,99,1.29,ID,1735333901
230,ciudad acuna,29.3232,-100.9522,27.32,16,0,2.06,MX,1735333902
231,bokoro,12.3807,17.0568,22.14,17,2,4.98,TD,1735333903
232,landivisiau,48.5078,-4.0683,4.12,100,100,2.57,FR,1735333906
233,ratnagiri,16.9833,73.3,24.22,81,56,2.76,IN,1735333907
234,rio grande,-32.035,-52.0986,23.48,65,44,4.21,BR,1735333908
235,gorontalo,0.5412,123.0595,24.07,95,99,1.62,ID,1735333910
236,harper,4.375,-7.7169,26.91,82,11,3.46,LR,1735333911
237,ilulissat,69.2167,-51.1,-18.99,65,75,3.6,GL,1735333912
238,barra do bugres,-15.0725,-57.1811,25.81,91,93,1.85,BR,1735333913
239,bouna,9.2667,-3.0,25.33,15,15,2.02,CI,1735333914
240,korla,41.7597,86.1469,-13.46,96,75,1.16,CN,1735333643
241,letterkenny,54.95,-7.7333,8.9,94,100,2.0,IE,1735333917
242,faaa,-17.55,-149.6,30.98,66,0,5.36,PF,1735333918
243,ulsteinvik,62.3432,5.8487,6.84,88,100,4.89,NO,1735333919
244,kidal,18.4411,1.4078,21.84,14,43,3.67,ML,1735333920
245,touros,-5.1989,-35.4608,26.81,80,67,6.36,BR,1735333740
246,vorkuta,67.5,64.0,-5.68,95,100,5.43,RU,1735333735
247,shindand,33.3029,62.1474,4.49,33,26,0.68,AF,1735333928
248,el aouinet,35.8669,7.8867,7.91,84,100,1.56,DZ,1735333929
249,vilyuchinsk,52.9306,158.4028,-2.85,82,100,4.35,RU,1735333930
250,vilyuysk,63.7553,121.6247,-41.93,100,75,0.98,RU,1735333932
251,taro,-8.3862,115.28,20.45,96,96,0.4,ID,1735333933
252,umm kaddadah,13.6017,26.6876,17.62,20,0,8.14,SD,1735333934
253,the pas,53.8251,-101.2541,-5.99,93,100,4.63,CA,1735333485
254,carutapera,-1.195,-46.02,27.64,76,78,4.27,BR,1735333936
255,hassi messaoud,31.6804,6.0729,4.92,56,0,0.51,DZ,1735333938
256,cadale,2.7603,46.3222,24.72,83,79,9.68,SO,1735333939
257,mili,6.0815,171.735,27.03,84,100,6.72,MH,1735333940
258,saynshand,44.8824,110.1163,-13.79,47,2,3.49,MN,1735333941
259,beidao,34.5686,105.8933,-6.23,46,0,0.37,CN,1735333943
260,hadibu,12.65,54.0333,23.37,72,46,7.89,YE,1735333944
261,kalianget,-7.05,113.9333,26.78,83,100,0.44,ID,1735333945
262,al bawiti,28.3492,28.8659,10.17,66,0,3.05,EG,1735333947
263,harnai,30.1005,67.9374,9.33,19,0,3.58,PK,1735333948
264,fredericton,45.9454,-66.6656,-2.53,80,0,1.54,CA,1735333435
265,bafra,41.5678,35.9069,7.57,82,100,5.02,TR,1735333735
266,luanco,43.6152,-5.7934,10.32,90,56,1.79,ES,1735333951
267,villa gesell,-37.2639,-56.973,18.09,73,0,7.2,AR,1735333953
268,howrah,22.5892,88.3103,18.0,77,0,0.0,IN,1735333954
269,at taj,24.2049,23.2857,10.6,52,88,2.88,LY,1735333955
270,moglingen,48.8874,9.1269,-0.44,82,100,1.41,DE,1735333956
271,dundalk,39.2507,-76.5205,6.99,66,0,2.06,US,1735333958
272,kostanay,53.1667,63.5833,-1.84,80,75,6.0,KZ,1735333815
273,puerto quijarro,-17.7833,-57.7667,34.51,24,99,1.57,BO,1735333872
274,katabu,-4.9333,122.5167,24.3,95,100,0.98,ID,1735333961
275,nogliki,51.8333,143.1667,-14.7,82,100,9.83,RU,1735333962
276,kruisfontein,-34.0033,24.7314,20.1,90,84,2.08,ZA,1735333964
277,yarmouth,41.7057,-70.2286,3.03,76,0,2.57,US,1735333965
278,lerwick,60.1545,-1.1494,8.1,87,100,7.53,GB,1735333966
279,rongelap,11.1635,166.8941,27.44,76,100,9.28,MH,1735333967
280,timimoun,29.2639,0.231,10.21,40,0,5.14,DZ,1735333969
281,carnarvon,-24.8667,113.6333,26.81,32,2,7.31,AU,1735333970
282,hammerfest,70.6634,23.6821,1.25,69,20,9.26,NO,1735333971
283,ta`u,-14.2336,-169.5144,27.59,76,100,3.79,AS,1735333972
284,tsiombe,-25.3,45.4833,24.55,87,88,2.27,MG,1735333974
285,enewetak,11.3474,162.3373,27.48,76,100,7.46,MH,1735333975
286,papao,-17.75,-149.55,30.82,70,95,6.45,PF,1735333976
287,siem reap,13.5,104.0,23.6,73,89,2.22,KH,1735333977
288,keflavik,64.0049,-22.5624,-0.76,93,75,15.43,IS,1735333978
289,cicero dantas,-10.6,-38.3833,27.71,42,57,8.9,BR,1735333980
